id,name,minutes,tags,n_steps,steps,ingredients,n_ingredients,user_id,rating,review,rating_category,calories,total fat (PDV),sugar (PDV),sodium (PDV),protein (PDV),saturated fat (PDV),carbohydrates (PDV),calorie_status,price
142,almond fudge banana cake,110,"['weeknight', 'time-to-make', 'course', 'preparation', 'for-large-groups', 'desserts', 'oven', 'cakes', 'dietary', 'equipment', 'number-of-servings', '4-hours-or-less']",13,"['mash bananas and set aside', 'beat sugar and margarine until light and fluffy', 'beat in eggs , liqueur and vanilla', 'combine dry ingredients', 'stir in almonds', 'add to sugar mixture alternately with bananas', 'beat well', 'pour batter into greased 10-inch bundt pan', 'bake in preheated 350f oven 45 to 50 minutes or until toothpick inserted in center comes out almost clean and cake pulls away from side of pan', 'cool 10 minutes', 'remove cake from pan to wire rack to cool completely', 'drizzle glaze over top and down side of cake', 'make 16-20 servings']","['dole banana', 'sugar', 'margarine', 'eggs', 'amaretto liqueur', 'vanilla extract', 'all-purpose flour', 'unsweetened cocoa powder', 'baking soda', 'salt', 'dole almond']",11,914114,4,Came out great for a chocolate Easter cake. I made an almond cream cheese frosting instead of a chocolate glaze to make it more Spring-like. Very moist and the banana is definately the strongest flavor coming from the cake. Will definately make again.,tasty,224.8,14,87,10,7,9,11,Low Calory,24
520,apple pie cake,40,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'north-american', 'pies-and-tarts', 'desserts', 'fruit', 'american', 'oven', 'cakes', 'pies', 'dietary', 'apples', 'equipment', 'number-of-servings']",4,"['cream butter , sugar and the egg', 'mix together the flour , baking powder , cinnamon , salt , nutmeg , vanilla , apples , pecans , and raisins', 'mix together well with the creamed mixture', 'pour the batter into a round pie dish and bake at 350 30 to 40 minutes or until the cake is done and a toothpick inserted near the center comes out clean , not doughy']","['sugar', 'egg', 'salt', 'butter', 'flour', 'baking powder', 'cinnamon', 'nutmeg', 'vanilla', 'baking apples', 'pecans', 'golden raisin']",12,22504,3,"The flavor of this was good, but the making of it didn't go very well.  There were a lot of steps, which isn't necessarily a  bad thing, but it didn't fall together like most cake recipes.  For example, I couldn't figure out why I had to melt the butter (and of course cool it) when I was just creaming it, or why add the sugar in two parts.   I had tons of tunnels.  And it would be helpful if there was a number for how long to bake.  At least a range, especially for us novice cooks.   It took 45 minutes for me.",so so,359.1,26,136,18,7,40,16,Low Calory,20
822,heloise s cake mix cookies,8,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', '5-ingredients-or-less', 'drop-cookies', 'desserts', 'oven', 'easy', 'cakes', 'cookies-and-brownies', 'dietary', 'equipment', 'number-of-servings']",4,"['mix all ingredients well to remove lumps', 'stir in raisins and / or nuts and / or chocolate chips if you so desire', 'drop by teaspoonfuls on an ungreased baking sheet about 2-inches apart', 'bake at 350f for 8-10 minutes']","['cake mix', 'vegetable oil', 'eggs']",3,36327,5,What a great recipe!  Inexpensive and EASY!!  My favorite is a chocolate cake with peanut butter chips.  Yum!,tasty,137.4,11,46,6,2,5,5,Low Calory,44
916,momma s fair funnel cake,20,"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'healthy', 'desserts', 'cakes', 'dietary', 'number-of-servings']",9,"['beat eggs and sugar together and then add the milk slowly--beat', 'add the dry ingredients and beat until smooth and creamy', 'pour batter into a funnel and at the same time , use your finger to plug the hole', 'in a large cast iron pot , add 2 inches of oil to the bottom', 'when the oil becomes hot , move your hand over the pot and slowly release your finger so the batter can start cooking', 'move the funnel around to make designs', 'brown on both sides--then immediately remove and drain extremely well', 'top with brown sugar , or honey , or cinnamon sugar , or powdered sugar as a topping', 'be careful and do not get burned !']","['eggs', 'sugar', 'milk', 'flour', 'salt', 'baking powder', 'vegetable oil']",7,13640,5,"This is a great recipe, its small, quick and tastes great.",tasty,398.9,9,34,16,27,13,23,Low Calory,31
1633,mc donald s pancakes,20,"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', '5-ingredients-or-less', 'pancakes-and-waffles', 'breakfast', 'easy', 'dietary', '3-steps-or-less']",4,"['put all ingredients into a blender', 'blend on high speed a few seconds until smooth', 'let stand 10 minutes before using 1 / 4 cup batter for each pancake on hot , oiled griddle , browning each side', 'makes 8 to 10 pancakes']","['carbonated lemon-lime beverage', 'egg', 'sugar', 'oil', 'biscuit mix']",5,60908,5,"OMG, these are great! I was looking for something faster than scratch, but more interesting than plain baking mix. This fit the bill, perfectly. I did have to add about 1/2 C. of milk to thin, as the batter was too thick to scoop. But with that only addition, they were super! Very high-rising and light and fluffy. DH gave them 5 stars. They were delicious with Louisiana cane syrup. Thanks so much for sharing, CeeDee! ",tasty,225.6,14,39,16,8,10,10,Low Calory,31
2496,dark chocolate cake,60,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'for-large-groups', 'desserts', 'oven', 'cakes', 'chocolate', 'dietary', 'equipment', 'number-of-servings']",17,"['heat oven to 350f', 'grease and flour two 9 inch round baking pans or one 13x9 inch pan', 'in large mixer bowl , stir together dry ingredients', 'add eggs , milk , oil , and vanilla', 'beat on medium speed for 2 minutes', 'stir in boiling water by hand', 'i usually use between 2 / 3 & 3 / 4 cups', 'the cake is still very moist but it doesn\'t seem to ""fall"" as much as it cools', ""this might have to do with our high humidity or brand of flour or other factors so i don't know if it will work for everyone"", 'pour into prepared pan', 'bake 30 to 35 minutes for round 9-inch pans , 35 to 40 minutes for rectangular pan or until wooden pick inserted in center comes out clean', 'because they have a tendency to overflow if you fill them more than 2 / 3 full , i usually get about 27-28 cupcakes per batch', 'bake for approximately 18-20 minutes', 'cool 10 minutes', 'remove from pan to wire racks', 'please', 'chocolate drink mixes that you add to milk or water to drink will not work in this recipe']","['sugar', 'flour', 'baking cocoa', 'baking powder', 'baking soda', 'salt', 'eggs', 'milk', 'vegetable oil', 'vanilla extract', 'boiling water']",11,72570,5,"Well, it wasn't really a dark chocolate cake to me, but I've been rather spoiled by my grandma's cake recipe, so I'm not a very good judge. However, it was surprisingly moist and rich for such a simple cake. I used a chocolate frosting and put fresh raspberries between the layers and on top for my little sister's birthday. It was great! Thanks for the recipe. ",tasty,189.1,10,80,10,5,7,10,Low Calory,37
2695,lemon jello cake,45,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'occasion', 'gelatin', 'desserts', 'oven', 'cakes', 'dietary', 'equipment', 'number-of-servings']",7,"['mix cake ingredients together for 4 minutes', 'bake in metal non stick 9x13 inch pan @350 for 40 minutes', 'or , if using a glass baking dish bake @325 for 45 minutes', 'poke holes all over the cake while hot', 'mix together icing: powdered sugar and lemons', 'pour this over the cake immediately , while it is still hot from the oven', 'serve warm or cold']","['yellow cake mix', 'lemon jell-o gelatin', 'eggs', 'water', 'vegetable oil', 'powdered sugar', 'lemons, juice and zest of', 'butter']",8,20041,0,"There were two recipes that I received in the late fifties or 60's.  They were so great then.  The other recipe was Orange Jello Cake, using Orange Jello with White Cake Mix.  They were fast, simple, moist, and rated excellent then.
My recipes are packed for moving; so I cannot give you the baking temperature or time.",bad,456.9,34,179,15,9,21,20,Low Calory,46
2767,moms chocolate zucchini cake,90,"['time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'desserts', 'oven', 'cakes', 'chocolate', 'dietary', 'equipment', 'number-of-servings', '4-hours-or-less']",9,"['there are many versions of this recipe , this one we like the best for our family ! beat margarine , oil and sugar well', 'beat in eggs , vanilla and sour milk', 'sift dry ingredients and beat into mixture', 'stir in zucchini', 'pour batter into a greased and floured tube or bundt pan', 'sprinkle top of batter with chips bake in a 325f oven 40 to 45 minutes or tested done', 'cool in pan 15 minutes and carefully remove to finish cooling', 'sprinkle with powder sugar if desired', 'freezes well and tastes wonderful !']","['margarine', 'oil', 'sugar', 'eggs', 'vanilla', 'sour milk', 'flour', 'baking cocoa', 'baking powder', 'baking soda', 'cinnamon', 'zucchini', 'chocolate chips']",13,103730,0,I made this recipe and just wanted to say that the cake really needs to cook much longer! I had it in for about 60-65 minutes!,bad,138.8,10,45,3,3,7,6,Low Calory,37
2923,7 up pound cake,75,"['time-to-make', 'course', 'preparation', 'occasion', 'desserts', 'oven', 'easy', 'cakes', 'dietary', 'equipment', 'number-of-servings', '4-hours-or-less']",6,"['preheat oven to 300f and grease / flour a tube pan', 'cream butter and sugar together until light and fluffy', 'add eggs one at a time , beating after each one', 'add flour alternating with 7-up', 'stir in lemon flavoring', 'bake in prepared pan until cake tests done , approximately an hour']","['butter', 'sugar', 'eggs', 'cake flour', 'lemon flavoring', 'carbonated lemon-lime beverage']",6,5899,0,This is a great recipe that's too easy.,bad,556.9,38,205,9,11,76,26,High Calory,49
3091,kitty litter cake,60,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-large-groups', 'desserts', 'oven', 'cakes', 'dietary', 'equipment', 'number-of-servings']",20,"['prepare cake mixes and bake according to box directions', 'prepare pudding , chill until ready to assemble', 'crumble sandwich cookies in small batches in food processor , scraping often', 'set aside all but 1 / 4 cup', 'to the 1 / 4 cup of crumbs , add a few drops of green food coloring and mix using fork or shake in a jar', 'when cakes are cooled to room temp , crumble into a large bowl', 'toss with half the remaining cookie crumbs and chilled pudding', 'you probably won\'t need all the pudding , mix the cake and ""feel"" it , you don\'t want it soggy , just moist', 'ge ntly combine', 'line litter box', 'put mixture into box', 'put 3 unwrapped tootsie rolls in microwave safe dish and heat until softened', 'shape ends so they are no longer blunt , curving slightly', 'repeat with 3 more tootsie rolls and bury in cake mixture', 'sprinkle the other half of cookie crumbs over top', 'scatter green crumbles lightly over top', 'heat 3 tootsie rolls in microwave until almost melted', 'scrape them on top of the cake and sprinkle with cookie crumbs', 'spread remaining tootsie rolls over top', 'take one and heat until pliable , hang over side of litter box , sprinkle with cookie crumbs']","['spice cake mix', 'eggs', 'oil', 'water', 'white cake mix', 'vanilla instant pudding mix', 'cookies', 'green food coloring', 'tootsie rolls', 'new kitty litter box', 'pooper scooper']",11,9121,0,"It probably tastes really good, but what a STRANGE recipe!!  LOL!!",bad,354.2,23,144,20,8,13,16,Low Calory,33
3333,dirt cake ii,15,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'desserts', 'american', 'kid-friendly', 'cakes', 'chocolate', 'dietary']",9,"['crush the oreo cookies in a blender or food processor', 'set aside', 'cream together butter or margarine and cream cheese', 'in a large bowl , mix 2 large boxes of vanilla instant pudding', 'add cream cheese mixture and 8 ounces of cool whip', 'beat together until mixed', 'in an 8 inch flower pot , layer the cookie mixture , the pudding mixture , the cookie mixture , and so on', 'end up with the cookie mixture', 'add an artificial flower on top']","['oreo cookies', 'butter', 'cream cheese', 'instant vanilla pudding', 'milk', 'cool whip', 'flower pot', 'artificial flower']",8,8400,5,"This recipe is very tasty, and a big hit with the kids.  Make sure your cream cheese is soft before you mix it in or you'll have lumps.  If you don't have a flower pot on hand, a 9"" deep dish pie pan works well,too.",tasty,578.5,51,196,31,13,97,21,High Calory,8
3559,pumpkin bundt cake ii,62,"['time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'for-large-groups', 'desserts', 'vegetables', 'oven', 'fall', 'winter', 'cakes', 'seasonal', 'equipment', 'number-of-servings', '4-hours-or-less']",7,"['in a large mixing bowl , combine the first seven ingredients', 'beat on low speed for 30 seconds', 'then beat at medium speed for 4 minutes', 'pour into a greased and floured 10-inch fluted tube pan', 'bake at 350f for 50-55 minutes or until a wooden pick inserted near the center comes out clean', 'cool in pan for 15 minutes before removing to a wire rack to cool completely', 'serve with whipped cream or ice cream if desired']","['yellow cake mix', 'instant butterscotch pudding mix', 'eggs', 'water', 'vegetable oil', 'canned pumpkin', 'pumpkin pie spice']",7,55056,5,"I made this to take in to my staff as a Monday-morning treat and they all but licked the plate!  The recipe works great, even in high altitude.  I did drizzle a simple powdered sugar icing on top, with a sprinkle of cinnamon added.  NOW, I have to find another great treat to take in because Kay missed it!  Thanks for the wonderful recipe, Johnson!",tasty,193.9,12,58,11,6,7,8,Low Calory,29
3595,better than sex cake iii,50,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'for-large-groups', 'desserts', 'american', 'oven', 'easy', 'dinner-party', 'romantic', 'cakes', 'chocolate', 'dietary', 'taste-mood', 'equipment', 'number-of-servings']",8,"['preheat oven to 350f', 'grease and lightly flour 13"" x 9"" cake pan', 'mix cake as directed on package', 'bake the cake about 35 minutes or until it tests done', 'as soon as it comes out of the oven , poke holes all over it with a fork and pour sweetened condensed milk evenly over the cake , followed by caramel sauce', 'refrigerate overnight', 'shortly before serving , spread whipped topping over cake and sprinkle with crushed heath bars', 'enjoy']","['dark chocolate cake mix', 'water', 'vegetable oil', 'eggs', 'sweetened condensed milk', ""mrs richardson's caramel topping"", 'whipped topping', 'heath candy bars']",8,7994,0,I find this recipe hard to follow because im in australia  and need to find similar ingredients.,bad,322.2,20,80,14,8,22,16,Low Calory,31
